city_name,AQI,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,coord.lon,coord.lat,Year,Month
Alaminos,49.45918367,336.1370408,0.150153061,3.113367347,79.74969388,3.235969388,9.133673469,11.67561224,2.240459184,119.9811,16.1561,2024,1
Angeles City,50.50510204,397.1209184,0.115765306,5.607142857,61.27397959,2.071071429,8.558163265,11.47188776,3.19127551,120.5833,15.15,2024,1
Antipolo,48.78680203,323.2818274,0.047461929,1.880456853,61.84807107,0.366700508,4.244010152,5.441472081,1.387461929,121.19,15.6181,2024,1
Bacolod,49.51010101,242.6693939,0.013636364,0.752424242,71.06025253,1.880808081,3.726363636,5.966717172,0.287878788,123.5085,12.2285,2024,1
Bacoor,51.87817259,700.9007107,0.657055838,18.80299492,81.98705584,14.48939086,22.05335025,34.98482234,6.779796954,120.929,14.459,2024,1
Bago City,48.2893401,254.1185279,0.034517766,1.147563452,69.44167513,1.724467005,3.501269036,5.263756345,0.461928934,122.8333,10.5333,2024,1
Baguio,52.36923077,414.8882564,0.069487179,4.447384615,53.418,2.069692308,13.898,16.11702564,3.530461538,120.5931,16.4164,2024,1
Bais,51.47715736,241.4105076,0.024365482,1.147817259,65.15233503,0.946040609,3.237258883,4.252182741,0.689441624,123.1228,9.5911,2024,1
Balanga,49.02020202,343.0417677,0.085505051,3.556767677,75.42207071,2.030959596,5.889191919,9.858383838,1.989343434,120.5361,14.6761,2024,1
Batac City,49.28282828,306.729596,0.032474747,0.957878788,84.13333333,0.344090909,6.007020202,8.534292929,0.711111111,120.5649,18.0554,2024,1
Batangas City,51.39285714,315.0706633,0.191020408,7.940969388,69.78285714,5.727040816,5.684285714,9.308826531,2.183061224,121.05,13.75,2024,1
Bayawan,50.18781726,246.6375127,0.02319797,1.264162437,63.72390863,0.804467005,3.042081218,3.97,0.888730964,122.8011,9.3636,2024,1
Baybay,50.04545455,248.0052525,0.006363636,0.373535354,79.89383838,5.432474747,3.83479798,6.927272727,0.133989899,123.7135,13.4083,2024,1
Bayugan,49.16666667,260.4462121,0.046565657,2.807020202,27.34828283,0.686161616,3.402626263,4.915454545,1.657272727,125.7675,8.7561,2024,1
Bi?n,50.85279188,382.3464467,0.337664975,10.09187817,76.32862944,12.43401015,6.842335025,12.50781726,3.145583756,121.0807,14.3427,2024,1
Bislig,48.8989899,288.7930303,0.08010101,3.382474747,59.67267677,0.760808081,3.767424242,6.022626263,1.15959596,125.0336,11.0725,2024,1
Bogo,49.67676768,242.3741414,0.013686869,0.712878788,67.80914141,0.957676768,2.897020202,4.888838384,0.247171717,124.0055,11.0517,2024,1
Borongan,51.83333333,231.2825758,0.007676768,0.571313131,67.08853535,0.250959596,2.940252525,5.900606061,0.076717172,125.4319,11.6081,2024,1
Butuan,50.69191919,262.9832828,0.02020202,2.183737374,42.04712121,0.477878788,2.852323232,4.098838384,0.932222222,125.5436,8.9492,2024,1
Cabadbaran,50.88832487,249.3741117,0.021675127,1.589695431,50.13614213,0.503959391,2.392893401,3.766700508,0.975431472,125.5344,9.1236,2024,1
Cabanatuan City,49.69035533,366.0472081,0.117309645,3.33857868,66.03664975,0.71248731,5.743248731,7.52928934,2.199137056,120.9667,15.4833,2024,1
Cabuyao,45.08121827,382.3464467,0.337664975,10.09187817,76.32862944,12.43401015,6.842335025,12.50781726,3.145583756,121.1262,14.2726,2024,1
Cadiz,51.76142132,239.2164467,0.007106599,0.33893401,72.44979695,1.517309645,3.37284264,5.547411168,0.090253807,123.2856,10.9506,2024,1
Cagayan de Oro,52.44670051,314.8522335,0.082335025,4.51106599,53.2128934,1.36,4.767766497,6.550152284,2.933147208,124.6472,8.4822,2024,1
Calaca,48.41624365,285.378934,0.154923858,4.505228426,76.71253807,4.782335025,4.71035533,8.499035533,1.280050761,120.8133,13.9324,2024,1
Calamba,51.43654822,383.3291878,0.340507614,10.13233503,76.21243655,12.46969543,6.854162437,12.52685279,3.156649746,121.1653,14.2117,2024,1
Calapan,50.44162437,263.3692386,0.097664975,4.675939086,82.19690355,5.115228426,4.635329949,7.702741117,0.234923858,121.1803,13.4117,2024,1
Calbayog City,50.75252525,241.969899,0.007727273,0.549040404,62.44606061,3.851010101,3.803333333,6.548030303,0.271616162,124.6,12.0667,2024,1
